id,name,aliases,product_type,access,persistence,storage_commit,safety_preconditions,safety_status,unit,physical_dimension,physical_status,physical_scale,physical_offset,range_min,range_max,range_status,firmware_struct,firmware_field,canopen_index,canopen_subindex,canopen_wire_type,canopen_access,canopen_pdo_mappable,canopen_conversion_kind,canopen_conversion_status,canopen_conversion_direction,canopen_scale,canopen_offset,canopen_rounding,canopen_overflow,eds_parameter_name
0x10000001,status.statusword,drive.status_word,uint32,ro,volatile,none,,not_applicable,bitfield,dimensionless,verified,1.0,0.0,,,unspecified,AppStatusInfo,Statusword,0x6041,0,uint16,ro,1,adapter_defined,unverified,wire_to_product,,,adapter_defined,reject,Statusword
0x10000002,status.operation_mode,,int8,ro,volatile,none,,not_applicable,dimensionless,dimensionless,verified,1.0,0.0,,,unspecified,AppStatusInfo,Modes_of_operation_display,0x6061,0,int8,ro,1,identity,verified,wire_to_product,1.0,0.0,exact,reject,Modes of operation display
0x10000003,feedback.position,feedback.actual_position,int64,ro,volatile,none,,not_applicable,position_count,position,inferred,1.0,0.0,,,unspecified,AppMotionInfo,Position_actual_value,0x6064,0,int32,ro,1,adapter_defined,unverified,wire_to_product,,,adapter_defined,reject,Position actual value
0x10000004,feedback.velocity,feedback.actual_velocity,float32,ro,volatile,none,,not_applicable,firmware_native_velocity,velocity,unverified,,,,,unspecified,AppMotionInfo,Velocity_actual_value,0x606C,0,int32,ro,1,adapter_defined,unverified,wire_to_product,,,adapter_defined,reject,Velocity actual value
0x10000005,feedback.torque,,float32,ro,volatile,none,,not_applicable,firmware_native_torque,torque,unverified,,,,,unspecified,AppMotionInfo,Torque_actual_value,0x6077,0,int16,rw,1,adapter_defined,unverified,wire_to_product,,,adapter_defined,reject,Torque actual value
0x10000006,feedback.current,feedback.actual_current,float32,ro,volatile,none,,not_applicable,ampere,electric_current,inferred,1.0,0.0,,,unspecified,AppMotionInfo,Current_actual_value,0x6078,0,int16,ro,1,adapter_defined,unverified,wire_to_product,,,adapter_defined,reject,Current actual value
0x10000007,feedback.dc_link_voltage,feedback.bus_voltage,float32,ro,volatile,none,,not_applicable,volt,voltage,verified,1.0,0.0,,,unspecified,AppStatusInfo,DC_link_circuit_voltage,0x6079,0,uint32,ro,1,adapter_defined,unverified,wire_to_product,,,adapter_defined,reject,DC link circuit voltage
0x10000008,feedback.following_error,,int64,ro,volatile,none,,not_applicable,position_count,position,inferred,1.0,0.0,,,unspecified,AppMotionInfo,Following_error_actual_value,0x60F4,0,int32,ro,1,adapter_defined,unverified,wire_to_product,,,adapter_defined,reject,Following error actual value
